0:0:0:0:0:0:0:1 - - [28/May/2019:13:32:31 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [28/May/2019:13:33:19 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/May/2019:13:33:44 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/May/2019:13:34:53 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [28/May/2019:13:35:48 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [28/May/2019:13:38:22 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [28/May/2019:13:38:33 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [28/May/2019:13:38:38 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:38:39 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [28/May/2019:13:38:47 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [28/May/2019:13:39:40 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:39:58 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:40:33 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:40:57 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:34 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
